id,Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
64fc022b-afd6-42a0-898c-a617bab15796,2018-01-31,2018-03-22,50,147,2018-20184106,79228.94,79228.94,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
8a688e57-5cf3-4cb3-a0ca-6170cd3e2208,2018-02-28,2018-05-15,76,147,2018-20184158,79228.94,79228.94,True,Fully Paid,True,2018-02,2018,2018-05,2018,False,0.0
4b7c709a-03d7-4136-aaf8-79bb23db6b0c,2018-04-30,2018-09-20,143,147,2018-20184255,79228.94,79228.94,True,Fully Paid,True,2018-04,2018,2018-09,2018,False,0.0
cdbdd634-0dfd-4954-a4bc-e03673be0c61,2018-01-31,2018-03-22,50,147,2018-20184106,60626.22,60626.22,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
eef801e6-7ea1-4fe3-8702-91064069381f,2017-10-03,2017-10-10,7,147,2017-20173933,63581.85,63581.85,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
53622a5e-f160-4ce3-837e-83dc45e44e27,2017-10-03,2017-10-10,7,147,2017-20173933,63581.85,63581.85,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
fb0c5896-0224-48ee-b8ed-11d303bfbaae,2017-10-03,2017-10-10,7,147,2017-20173933,26613.89,26613.89,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
e23cd1cf-475d-4a44-b60c-c33c925aca97,2017-10-03,2017-10-10,7,147,2017-20173933,26613.89,26613.89,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
1b0d95f0-ce8d-4737-85ef-f9170ae10d5c,2019-12-30,2020-01-28,29,147,2019-5010,56695.18,56695.18,True,Fully Paid,False,2019-12,2019,2020-01,2020,False,0.0
d919673f-f9e5-43aa-859b-1449f7e5899a,2018-01-31,2018-03-22,50,147,2018-20184106,29411.15,29411.15,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
2fb282df-28aa-4577-8dd3-cd41c6ec1f67,2019-11-28,2019-12-29,31,147,2019-4972,40895.97,40895.97,True,Fully Paid,True,2019-11,2019,2019-12,2019,False,0.0
305f9d8f-caa3-477f-b1ae-f51e1d3a7bb3,2018-01-31,2018-03-22,50,147,2018-20184106,19109.22,19109.22,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
d1b6feb2-3bea-4012-82b2-e7797bb38bbd,2018-02-28,2018-09-20,204,147,2018-20184158,31522.03,31522.03,True,Fully Paid,True,2018-02,2018,2018-09,2018,False,0.0
36793a6e-97d3-412f-8616-bc08623c2102,2018-03-29,2018-09-20,175,147,2018-20184211,31522.03,31522.03,True,Fully Paid,True,2018-03,2018,2018-09,2018,False,0.0
31802d98-bff3-4a01-b776-f14e08f3effa,2019-09-30,2019-10-14,14,147,2019-4917,26436.65,26436.65,True,Fully Paid,False,2019-09,2019,2019-10,2019,False,0.0
b2f86423-e072-4492-9358-f743b23d2924,2019-10-15,2019-10-27,12,147,2019-4925,26436.65,26436.65,True,Fully Paid,False,2019-10,2019,2019-10,2019,False,0.0
689fdb7a-d0bc-4c8e-8f55-009e619da305,2019-10-30,2019-12-04,35,147,2019-4944,26436.65,26436.65,True,Fully Paid,True,2019-10,2019,2019-12,2019,False,0.0
c1b6a158-afce-4e74-829d-610ad5db1df2,2017-10-03,2017-10-10,7,147,2017-20173933,17425.08,17425.08,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
b3195969-90e2-4168-9783-da31cffac0fd,2017-10-03,2017-10-10,7,147,2017-20173933,17425.08,17425.08,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
278fa812-aa56-4197-b4db-654653b439ec,2019-09-30,2019-10-14,14,147,2019-4917,15015.46,15015.46,True,Fully Paid,False,2019-09,2019,2019-10,2019,False,0.0
dc4d4f6a-90b4-4dbe-b871-62b50f7e62e3,2019-10-15,2019-10-27,12,147,2019-4925,15015.46,15015.46,True,Fully Paid,False,2019-10,2019,2019-10,2019,False,0.0
3176b502-15cb-44dd-9a8c-5b0f09a82e8e,2019-10-30,2019-12-04,35,147,2019-4944,15015.46,15015.46,True,Fully Paid,True,2019-10,2019,2019-12,2019,False,0.0
725470c1-31df-4f43-b90a-38a949c21ed7,2019-11-28,2019-12-29,31,147,2019-4972,15015.46,15015.46,True,Fully Paid,True,2019-11,2019,2019-12,2019,False,0.0
0224b53c-8193-41c1-bd9b-53a530f2e779,2019-12-30,2020-01-28,29,147,2019-5010,15015.46,15015.46,True,Fully Paid,False,2019-12,2019,2020-01,2020,False,0.0
e6dcc122-13ba-43d6-bed6-391b485583dc,2018-02-28,2018-09-20,204,147,2018-20184158,10245.68,0.31,True,Partially Paid,True,2018-02,2018,2018-09,2018,True,10245.37
754ae50e-696c-48f9-8ec8-db7a72648f8e,2018-02-28,2018-05-15,76,147,2018-20184158,10245.68,9068.45,True,Partially Paid,True,2018-02,2018,2018-05,2018,True,1177.2299999999996
