Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
2016-10-13,2016-11-16,34,126,2016-20163316,28896.82,28896.82,False,Fully Paid,True,2016-10,2016,2016-11,2016,False,0.0
2017-07-31,2022-12-31,1979,126,2017-20173840,33648.11,33648.11,True,Fully Paid,True,2017-07,2017,2022-12,2022,False,0.0
2017-06-29,2022-12-31,2011,126,2017-20173766,21230.0,4510.96,True,Partially Paid,True,2017-06,2017,2022-12,2022,True,16719.04
2017-06-29,2018-01-04,189,126,2017-20173766,21230.0,16719.04,True,Partially Paid,True,2017-06,2017,2018-01,2018,True,4510.959999999999
2016-10-31,2016-12-22,52,126,2016-20163340,11559.75,11559.75,True,Fully Paid,True,2016-10,2016,2016-12,2016,False,0.0
2016-11-30,2016-12-22,22,126,2016-20163413,11559.75,11559.75,True,Fully Paid,False,2016-11,2016,2016-12,2016,False,0.0
2016-12-29,2017-05-07,129,126,2016-20163450,11559.75,11559.75,False,Fully Paid,True,2016-12,2016,2017-05,2017,False,0.0
2017-01-31,2017-02-28,28,126,2017-20173507,11559.75,11559.75,False,Fully Paid,False,2017-01,2017,2017-02,2017,False,0.0
2017-02-28,2017-05-03,64,126,2017-20173557,11559.75,11559.75,False,Fully Paid,True,2017-02,2017,2017-05,2017,False,0.0
2017-03-30,2017-04-20,21,126,2017-20173611,11559.75,11559.75,False,Fully Paid,False,2017-03,2017,2017-04,2017,False,0.0
2017-07-31,2018-01-04,157,126,2017-20173840,11559.75,11559.75,True,Fully Paid,True,2017-07,2017,2018-01,2018,False,0.0
2017-08-30,2022-12-31,1949,126,2017-20173898,11559.75,11559.75,False,Fully Paid,True,2017-08,2017,2022-12,2022,False,0.0
2017-10-31,2022-12-31,1887,126,2017-20173974,11559.75,11559.75,False,Fully Paid,True,2017-10,2017,2022-12,2022,False,0.0
2016-10-31,2016-12-22,52,126,2016-20163340,12736.3,12736.3,True,Fully Paid,True,2016-10,2016,2016-12,2016,False,0.0
2016-11-30,2016-12-22,22,126,2016-20163413,12736.3,12736.3,True,Fully Paid,False,2016-11,2016,2016-12,2016,False,0.0
2016-04-28,2016-04-30,2,126,2016-20163032,10758.14,10758.14,False,Fully Paid,False,2016-04,2016,2016-04,2016,False,0.0
2016-07-19,2016-08-08,20,126,2016-20163172,10758.14,10758.14,True,Fully Paid,False,2016-07,2016,2016-08,2016,False,0.0
2016-08-23,2016-08-23,0,126,2016-9816,10758.14,10758.14,False,Fully Paid,False,2016-08,2016,2016-08,2016,False,0.0
2022-05-31,2022-08-04,65,126,2022-5919,20255.42,20255.42,False,Fully Paid,True,2022-05,2022,2022-08,2022,False,0.0
2022-10-13,2022-11-30,48,126,2022-6072,20255.42,20255.42,False,Fully Paid,True,2022-10,2022,2022-11,2022,False,0.0
2016-08-31,2016-11-16,77,126,2016-20163247,15728.41,15728.41,True,Fully Paid,True,2016-08,2016,2016-11,2016,False,0.0
2016-08-31,2016-11-16,77,126,2016-20163247,15557.24,15557.24,True,Fully Paid,True,2016-08,2016,2016-11,2016,False,0.0
2016-07-19,2016-08-08,20,126,2016-20163172,10209.38,10209.38,True,Fully Paid,False,2016-07,2016,2016-08,2016,False,0.0
2015-02-28,2015-03-15,15,127,2015-15663,179710.91,179710.91,False,Fully Paid,False,2015-02,2015,2015-03,2015,False,0.0
2015-01-31,2015-02-04,4,127,2015-20151048,107967.14,107967.14,False,Fully Paid,False,2015-01,2015,2015-02,2015,False,0.0
2015-03-31,2015-04-06,6,127,2015-15672,74605.16,74605.16,False,Fully Paid,False,2015-03,2015,2015-04,2015,False,0.0
2017-05-30,2017-06-14,15,127,2017-20173702,77908.63,74616.71,True,Partially Paid,False,2017-05,2017,2017-06,2017,True,3291.9199999999983
2017-05-30,2017-07-24,55,127,2017-20173702,77908.63,3291.91,True,Partially Paid,True,2017-05,2017,2017-07,2017,True,74616.72
2017-06-29,2017-07-12,13,127,2017-20173759,74835.97,74835.97,True,Fully Paid,False,2017-06,2017,2017-07,2017,False,0.0
2017-07-31,2017-08-08,8,127,2017-20173808,74835.97,74835.97,True,Fully Paid,False,2017-07,2017,2017-08,2017,False,0.0
2017-10-31,2017-11-22,22,127,2017-20173975,74835.97,74835.97,False,Fully Paid,False,2017-10,2017,2017-11,2017,False,0.0
2017-04-16,2017-04-20,4,127,2017-20173634,67934.97,67934.97,True,Fully Paid,False,2017-04,2017,2017-04,2017,False,0.0
